,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
India,7.07,7.86,8.14,9.79,9.14,11.71,15.21,21.14,25.5,32.57,34.29,42.5,46.71,57.5,63.21,65.07,80.86,89.64,131.57,167.79,165.93,196.57,228.0,305.64,341.07,375.64,428.43,479.36,532.79,584.36,657.29,720.71,737.43,777.64,841.79,902.86,1001.93,982.93,1054.93,1103.86,1168.0,1209.43,1274.07,1334.64,1357.0,1416.93,1481.43,1530.93,1636.07,1712.64,1777.86,1992.71,2094.29,2258.36,2376.71,2511.79,2608.93,2805.07,2951.21,3069.14,3213.79,3366.71,3466.21,3639.21,3799.5,3849.36,4076.79,4217.21,4419.64,4649.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World without China,0.0,0.0,0.0,0.0,0.0,13.43,14.0,18.57,19.86,19.86,25.57,24.79,27.36,27.14,28.71,33.57,39.57,47.07,52.86,58.93,65.21,70.57,90.36,115.36,136.57,159.71,197.14,262.36,332.64,431.29,551.86,667.57,832.43,979.57,1159.36,1417.64,1679.07,1933.07,2172.5,2506.0,2981.14,3280.64,4221.14,4892.0,5576.21,6460.71,7393.79,8502.64,10294.64,12135.57,14156.93,16184.86,18862.0,21354.86,24371.29,28418.93,31970.5,36002.29,39404.64,42857.0,47088.36,51205.57,54996.79,58771.36,62187.0,65111.0,67283.43,69786.86,72233.36,73948.5,75960.93,76730.21,79560.14,80095.29,79780.79,80124.5,81239.07,81601.21,81425.43,82131.5,82108.64,82248.07,81665.5,81521.43,81179.43,81702.36,79936.43,79846.57,80073.5,79710.79,78869.71,78954.93,79269.71,78984.5,79342.64,79537.86,80811.36,81230.29,81589.71,81627.71,81897.71,82406.21,83174.29,83903.64,84655.71,85479.29,86171.36,86200.07,87056.5,88193.29,88593.57,89758.43,90903.43,,,,,,,,,
US,7.5,9.71,14.71,18.0,27.71,36.0,38.36,65.07,87.71,114.93,151.5,190.07,247.29,325.93,451.36,545.14,966.36,1357.64,1799.79,2340.07,3091.0,3783.07,4611.36,5869.21,7127.21,8504.07,9812.43,11249.0,12981.07,14701.5,16447.14,18323.14,20244.79,21680.14,23032.5,24514.0,25915.0,27106.5,28206.0,28927.86,29600.21,29891.21,29964.14,30219.43,30283.79,30304.57,30254.5,30143.36,29885.07,29624.57,29406.93,28988.79,29179.43,29384.14,29319.43,29112.36,28922.29,28802.5,28674.5,28814.21,28567.79,28516.5,28261.93,28034.71,27784.29,27703.79,27040.79,26528.29,25962.5,25691.71,25485.29,25035.5,24882.14,24240.21,23948.64,23479.79,23423.79,23158.36,23037.29,22866.0,22643.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,8.14,10.21,12.86,17.57,33.29,46.71,55.93,73.14,82.86,102.86,134.36,145.14,259.07,321.86,404.64,508.07,647.21,861.79,1059.86,1369.86,1529.57,1702.36,1991.43,2252.07,2529.64,2990.0,3371.14,3793.57,4021.43,4258.07,4467.93,4681.79,4962.43,5093.64,5277.07,5375.0,5308.43,5334.07,5426.64,5303.07,5092.86,4800.93,4697.07,4513.36,4253.64,4062.93,3778.86,3588.43,3375.0,3218.64,3120.79,2902.0,2668.0,2496.29,2344.86,2257.5,2136.86,2049.0,2039.5,1913.29,1807.93,1620.0,1544.64,1462.86,1363.36,1336.86,1251.0,1164.36,1113.5,1057.93,1007.79,987.0,947.07,897.07,819.21,796.86,770.36,764.64,742.79,769.36,736.5,685.07,651.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,10.86,16.14,22.79,32.14,46.57,63.21,80.36,120.79,145.21,178.5,220.43,275.36,329.71,415.79,515.71,638.79,701.93,857.79,1032.71,1198.0,1430.64,1646.64,1853.14,2071.71,2330.29,2655.5,3027.5,3406.79,3697.36,3911.07,4216.21,4423.14,4676.86,4917.0,5093.93,5210.14,5268.5,5306.14,5347.21,5300.5,5200.43,5075.29,4986.43,4901.43,4743.57,4645.43,4502.64,4362.79,4271.36,4191.0,4126.93,4049.71,3898.64,3835.64,3757.64,3663.79,3573.14,3477.21,3455.07,3421.79,3310.5,3244.07,3077.14,2950.86,2849.86,2786.93,2745.43,2608.71,2499.57,2385.93,2267.5,2193.57,2075.43,1937.86,1848.93,1727.93,1636.93,1528.21,1457.14,1407.93,1322.36,1259.5,1175.5,1102.29,1051.29,996.29,977.57,921.93,867.71,819.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,8.43,11.64,15.71,18.36,28.43,35.57,47.93,76.5,120.64,161.71,161.57,371.43,453.29,551.0,701.57,827.36,977.71,1264.57,1429.29,1776.71,2006.79,2433.07,2727.86,3374.14,3964.93,4320.5,4774.57,5165.14,5572.43,6012.5,6443.43,6721.57,7056.36,7199.57,7348.43,7252.79,7289.79,7050.36,6816.86,6611.0,6413.71,6194.36,5867.36,5472.71,5251.86,5205.93,5117.14,4682.71,4787.71,4538.21,4445.43,4297.79,4271.57,3194.07,3062.71,2914.5,2811.86,2730.86,2519.5,2034.79,1741.21,1775.43,1342.29,1271.5,1082.21,852.57,601.64,1419.07,1262.36,1194.0,1283.64,1232.64,1126.71,1150.36,1069.07,1008.29,945.14,971.07,907.71,873.57,827.86,854.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,7.64,11.07,14.14,18.93,22.07,26.5,31.86,31.71,55.86,80.07,79.21,107.93,136.36,182.57,185.71,275.0,347.14,390.79,457.43,555.71,655.79,810.93,995.93,1154.86,1331.07,1493.0,1680.07,1944.5,2246.93,2476.79,2672.14,3049.36,3253.79,3413.21,3702.43,3861.43,4275.71,4468.71,4673.29,4794.07,4954.57,4972.71,4998.0,5077.14,5202.64,5195.43,5255.5,5301.64,5226.0,5241.0,5002.5,4978.21,4916.5,4912.71,4821.79,4782.71,4881.14,4922.57,4870.43,4762.14,4712.57,4719.36,4837.21,4909.36,4856.36,4782.57,4743.71,4713.14,4670.79,4610.29,4425.64,4237.07,4140.07,4082.36,3991.21,3849.64,3375.71,3162.07,3065.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,8.43,12.79,13.71,19.71,26.29,46.0,67.64,80.29,86.21,127.14,162.5,161.07,258.86,314.0,314.43,463.71,536.5,631.14,756.43,864.43,964.57,1079.07,1350.29,1487.71,1664.79,1947.0,2122.93,2400.64,2584.0,2749.07,3222.29,3473.21,3497.07,3746.0,3931.21,3940.64,3944.29,4038.64,4104.07,4129.64,4166.86,4054.14,5786.0,5730.29,5538.43,5416.86,6153.29,5920.14,5613.29,5828.5,5717.86,5643.21,5208.79,5066.93,4872.43,4770.07,2893.43,2897.79,2763.43,2354.14,1516.0,1372.93,1459.43,1136.71,1013.57,894.21,1303.14,1186.79,1160.71,1081.29,1062.43,827.43,664.0,831.5,835.36,880.36,793.71,769.14,747.71,731.86,534.0,502.36,415.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,10.71,10.64,11.43,14.14,22.79,26.29,44.07,55.71,72.0,109.0,135.64,158.29,179.71,209.5,233.29,268.07,292.43,312.79,385.43,461.71,530.21,590.21,667.07,684.57,731.21,841.93,972.57,1079.07,1158.64,1201.64,1281.14,1346.5,1396.07,1534.57,1598.64,1759.0,1878.43,1966.0,2041.57,2074.64,2113.36,2281.71,2457.5,2756.93,2922.0,3144.0,3426.64,3668.93,4054.43,4180.0,4317.29,4512.29,4848.36,5169.71,5775.29,6124.07,6632.21,6909.79,7114.21,7296.29,7498.5,7889.43,8284.14,9149.21,9743.64,9946.71,10482.0,11173.57,11783.43,12451.0,13142.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Korea,5.79,12.86,29.21,41.21,57.57,67.79,88.07,124.14,164.93,223.0,264.79,307.5,368.21,399.29,427.43,456.36,472.0,479.43,474.64,466.86,463.86,435.93,403.0,352.57,316.14,278.64,223.86,199.43,176.93,147.07,125.57,117.64,105.93,108.86,98.71,98.0,96.64,99.43,101.5,101.79,104.71,105.29,100.79,100.71,96.93,91.14,94.5,92.43,89.07,84.43,79.86,71.57,66.36,62.57,55.57,50.29,45.5,40.93,35.5,30.29,27.86,25.14,22.14,20.36,19.14,17.71,16.14,15.36,14.07,12.43,11.5,10.36,10.0,10.0,9.29,8.79,8.29,8.14,8.71,10.43,12.21,13.14,14.36,16.14,17.43,18.36,18.36,18.86,19.57,21.71,22.29,22.86,23.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
