,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
India,0.79,1.36,1.29,1.57,1.79,2.14,2.29,3.93,4.86,4.79,5.86,6.57,9.0,10.0,11.86,14.71,16.14,18.86,21.71,23.29,25.57,24.79,26.86,29.57,31.07,32.86,32.57,35.36,35.93,35.36,38.14,38.36,39.29,41.5,43.93,48.14,50.43,52.64,57.29,59.43,69.57,74.86,78.86,83.43,86.07,91.14,95.07,96.79,100.5,105.14,106.79,109.29,110.57,116.71,113.57,114.93,117.79,121.07,124.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World without China,0.86,1.0,1.64,2.36,3.0,3.71,4.71,5.71,7.21,8.57,11.93,14.93,18.93,23.07,28.71,33.64,48.36,59.29,77.21,100.0,119.43,153.36,181.07,224.71,268.79,322.43,379.43,454.71,553.93,670.0,775.07,901.5,1043.71,1217.93,1411.21,1626.21,1848.07,2053.5,2300.07,2585.86,2913.29,3272.43,3595.0,3914.29,4156.57,4424.79,4827.93,5108.07,5434.21,5700.07,5879.64,6035.07,6148.64,6297.5,6497.86,6578.93,6691.79,6709.57,6670.86,6646.86,6590.93,6589.93,6532.36,6468.86,6480.29,6339.5,6256.5,6219.29,6120.64,6007.57,5842.64,5755.43,5692.64,5600.86,5500.14,5495.86,5421.5,5350.0,5223.07,5200.64,5134.71,5081.5,4966.57,4932.71,4931.93,4854.79,4836.71,4781.64,4717.5,4589.93,4525.43,4518.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,0.79,0.86,1.0,1.21,1.5,1.57,2.0,2.57,3.0,3.57,4.21,5.21,6.71,9.07,11.0,17.64,24.0,30.36,40.43,54.57,70.21,91.71,120.29,158.5,191.71,239.0,292.57,373.79,453.29,548.5,636.43,744.86,842.0,936.29,1084.29,1210.71,1325.86,1434.86,1544.43,1619.0,1691.0,1778.21,1874.93,1921.86,2012.0,2064.64,2040.71,2056.57,2063.93,2081.57,2102.57,2081.14,2099.21,2056.79,2024.93,2006.64,2014.79,2010.86,1965.36,1899.57,1909.79,1874.0,1855.57,1860.21,1852.71,1834.79,1788.57,1760.36,1747.36,1714.36,1653.71,1635.86,1613.36,1598.93,1562.86,1530.36,1489.79,1427.43,1360.0,1342.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,0.79,1.21,1.71,2.0,3.14,4.79,6.0,6.71,8.64,11.07,14.5,18.86,23.93,30.29,37.29,44.86,53.64,63.71,75.93,86.29,97.14,106.43,120.5,132.79,153.07,167.14,173.21,164.5,177.79,182.07,179.93,206.0,210.36,219.79,215.36,214.43,218.0,215.5,209.29,212.0,213.79,224.36,211.0,209.43,215.71,190.21,183.64,170.29,168.07,162.86,152.21,140.0,142.57,129.79,125.0,119.43,113.79,109.64,101.71,99.57,90.07,82.93,80.43,78.29,72.14,77.71,62.07,57.93,51.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,0.86,1.21,1.5,2.07,2.43,3.71,5.64,7.64,10.57,14.0,16.5,25.93,32.57,44.36,58.21,71.36,88.93,100.86,126.79,150.43,173.14,205.07,232.64,273.93,328.0,365.0,401.0,442.07,476.86,514.21,562.0,613.0,640.71,673.79,708.93,726.93,750.71,760.64,752.64,743.64,746.14,736.21,726.14,718.86,693.93,674.64,651.43,633.86,617.07,606.43,589.64,576.0,561.79,555.21,542.21,537.21,529.71,519.29,508.57,494.0,481.79,465.14,449.43,431.21,414.07,392.21,391.64,373.14,354.64,333.36,328.5,314.93,302.29,286.5,279.71,268.71,253.71,244.57,242.93,241.0,218.07,216.0,209.14,203.86,189.0,180.57,172.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,1.21,2.0,2.5,3.86,3.93,9.5,13.93,20.64,24.43,38.0,44.36,59.07,74.14,97.5,125.36,163.07,198.07,256.64,307.86,357.5,413.36,465.29,526.71,566.5,626.0,679.86,725.36,755.14,776.36,787.86,802.64,796.07,791.57,781.64,758.86,743.29,717.14,685.14,665.79,640.5,628.86,578.29,558.0,536.5,516.93,494.64,479.29,460.21,449.71,427.21,411.79,411.86,397.64,373.43,324.36,361.21,343.64,326.86,309.36,295.71,279.5,269.64,255.43,245.07,230.21,221.29,202.07,198.43,208.29,175.93,164.21,162.93,154.64,145.07,133.57,166.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,2.0,3.07,4.71,5.86,8.29,11.36,13.86,17.79,20.29,25.5,35.86,49.14,62.14,82.36,102.07,116.36,141.43,167.64,213.14,256.64,305.14,355.5,399.14,434.64,498.14,558.86,624.57,686.64,725.64,759.29,785.79,833.29,845.79,873.0,888.79,914.29,903.79,903.36,912.93,899.43,872.64,862.64,862.93,843.93,815.07,805.29,801.79,776.29,762.36,726.93,713.79,694.07,659.79,645.64,632.07,604.5,568.93,558.07,548.79,528.57,507.0,489.36,463.93,452.93,442.57,433.36,422.93,402.57,388.21,368.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,0.71,1.29,1.29,2.29,3.29,3.29,5.5,6.36,6.36,10.43,10.36,10.36,17.0,31.57,39.43,46.93,60.21,76.36,91.79,117.86,137.0,159.0,180.0,205.79,241.64,304.64,368.14,433.5,500.79,529.79,576.0,660.07,682.43,752.14,801.29,823.86,842.93,854.0,871.36,911.07,894.57,868.79,839.36,830.5,810.07,746.79,746.79,687.86,645.21,626.14,603.36,593.57,566.57,494.36,461.21,422.43,388.43,370.0,352.64,338.5,319.29,295.14,284.64,264.0,251.71,239.29,237.93,213.36,217.79,209.64,197.79,229.36,217.0,177.71,165.93,159.14,141.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,0.79,1.07,1.79,2.43,3.29,4.21,5.5,6.57,7.93,9.71,11.36,14.29,16.93,22.71,24.86,30.71,32.93,37.86,45.71,54.29,62.36,68.93,72.36,77.64,83.5,95.07,106.86,114.29,127.29,136.36,141.14,144.5,146.79,149.07,170.07,189.07,209.5,218.79,233.93,253.64,269.79,291.57,305.07,314.79,327.79,341.43,371.21,405.86,418.5,450.93,471.36,488.36,503.57,527.0,551.93,570.93,610.71,635.79,647.64,677.57,717.5,733.64,775.5,787.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Korea,0.86,0.93,0.93,1.14,1.21,2.0,2.0,2.5,2.43,2.86,3.0,3.14,3.21,3.14,3.43,3.79,3.79,4.0,4.14,3.36,3.79,3.5,4.0,3.71,4.14,4.36,4.14,4.71,4.71,4.64,5.21,5.14,5.5,5.93,5.79,5.79,5.57,5.71,5.36,5.14,5.36,5.14,5.29,5.21,4.93,4.79,4.43,4.21,4.29,4.29,4.29,4.0,3.93,3.64,3.57,3.21,2.71,2.57,2.29,2.21,2.07,1.93,1.71,1.57,1.36,1.43,1.29,1.29,1.29,1.29,1.29,1.14,1.14,1.0,0.93,1.0,0.93,0.93,0.86,0.86,0.86,0.79,0.64,0.57,0.57,0.57,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,0.86,1.14,1.36,1.86,2.43,3.07,3.86,4.71,5.5,6.43,7.5,8.57,10.0,13.29,16.07,19.64,23.93,28.79,34.29,40.57,47.86,56.21,65.07,74.5,84.07,93.5,100.79,106.5,112.5,117.36,123.07,128.93,133.14,136.14,136.86,136.0,136.43,135.79,134.0,132.93,135.43,137.0,137.64,138.43,136.86,134.0,132.43,131.43,131.0,130.57,127.5,124.36,122.07,118.86,112.79,108.21,105.0,101.79,99.86,97.93,95.86,92.36,88.29,87.21,85.29,84.29,82.79,80.93,80.36,77.5,76.29,74.5,73.36,71.79,69.07,67.07,66.43,62.79,61.14,59.0,59.0,57.93,55.79,56.07,55.71,55.64,54.64,54.5,54.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1.0,1.5,2.64,4.79,5.36,6.29,8.71,12.5,15.5,20.43,24.93,30.5,36.29,49.64,58.14,70.71,79.0,86.86,98.0,110.29,136.64,147.29,164.5,195.0,213.79,226.36,242.14,246.57,258.0,274.71,287.14,297.86,302.57,299.71,283.07,287.29,283.36,261.43,255.07,249.57,236.0,226.71,218.64,195.5,181.43,165.14,154.36,149.71,144.14,148.36,137.5,131.57,118.86,111.57,107.14,102.14,95.86,93.5,89.71,88.57,86.29,82.57,78.0,57.93,55.07,49.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,1.21,1.71,2.07,2.36,3.0,3.14,3.29,4.07,4.29,5.21,6.43,7.29,8.71,9.93,10.93,12.43,14.43,17.07,19.29,22.57,25.57,28.43,32.14,34.21,37.21,41.07,44.07,46.14,49.79,55.29,60.07,64.0,64.93,65.64,67.93,71.07,73.14,76.43,79.14,81.86,83.43,86.79,89.21,88.57,88.0,89.21,93.93,96.5,97.57,99.0,102.5,105.29,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,0.86,1.14,1.43,2.0,2.07,2.64,3.5,4.14,5.5,6.5,8.64,9.71,12.0,13.29,15.79,18.36,19.71,21.71,26.93,29.43,31.14,34.71,40.79,42.29,41.93,51.14,56.86,62.5,70.57,73.71,75.36,78.71,83.07,91.64,98.07,101.86,100.79,104.86,111.36,117.86,123.86,135.14,138.5,146.29,151.0,152.79,168.36,177.71,187.0,199.64,213.14,215.93,218.64,225.64,241.86,253.5,273.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.86,1.36,1.5,1.71,1.79,2.07,2.64,3.79,4.29,4.5,5.43,6.86,7.21,9.29,11.93,14.21,17.0,22.43,24.93,26.93,33.21,35.93,42.36,46.43,50.07,57.14,64.21,80.0,84.07,84.5,93.29,99.14,109.64,119.36,124.14,131.79,136.93,140.93,147.14,148.71,153.36,146.5,155.79,163.07,159.29,162.57,162.86,163.43,164.29,163.93,160.86,164.57,162.43,165.5,162.14,163.0,153.0,151.14,150.57,139.79,131.29,127.43,123.29,118.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
