Country/Region,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.29,0.21,0.29,0.43,0.43,0.43,0.71,1.07,1.43,1.5,1.5,1.5,1.64,1.64,2.57,2.57,4.93,5.5,6.21,7.36,7.07,7.43,10.64,10.86,15.36,17.93,18.36,19.64,22.07,23.36,24.93,25.71,27.86,29.36,31.79,34.79,35.36,38.57,39.07,40.5,44.64,45.29,46.21,47.07,47.79,52.29,56.79,59.29,64.86,66.0,74.14,79.57,82.5,95.07,102.07,109.71,122.0,133.43,152.29,158.29,163.14,173.36,183.57,205.07,213.14,223.93,234.79,247.71,265.57,280.93,282.86,298.43,316.36,339.5,365.21,388.43
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.71,0.86,1.64,2.36,2.71,3.0,3.64,3.93,4.21,4.57,5.0,5.43,6.36,7.29,8.07,9.57,10.79,10.93,11.36,12.14,12.29,13.43,14.29,15.21,16.71,18.36,19.43,19.5,18.57,18.14,16.79,16.43,16.86,16.71,17.43,16.57,16.79,17.21,16.79,15.36,14.36,14.79,16.14,16.71,18.14,18.71,19.93,20.0,19.21,19.64,19.43,18.21,17.36,17.21,16.64,15.64,15.07,14.14,12.79,12.29,10.29,10.14,9.71,9.0,8.14,8.93,9.57,10.29,10.79,10.36,9.21,9.43,9.07,9.36
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.21,0.36,0.86,0.86,1.21,1.21,1.36,1.43,1.36,1.36,1.64,1.79,2.57,3.36,3.64,3.93,4.43,5.36,5.21,8.71,13.0,15.0,17.43,20.14,24.5,27.36,29.79,33.07,37.86,46.86,55.21,64.21,77.21,79.43,79.93,85.21,86.0,90.71,92.79,96.57,97.93,100.21,99.93,96.71,93.79,91.57,89.07,91.64,93.5,92.5,95.93,95.57,95.79,97.57,102.21,104.86,109.57,112.79,120.57,124.14,124.0,125.79,131.79,137.86,144.79,149.07,155.36,160.14,164.43,167.21,169.57,172.71,171.79,174.0,176.79,180.43,181.79,182.36,181.36,181.79,181.86,182.07
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.71,2.71,3.71,5.29,6.21,8.0,9.43,11.64,13.36,15.93,19.0,21.93,23.79,26.29,24.07,25.07,26.79,26.0,27.0,27.71,28.0,27.21,26.86,25.64,23.86,20.93,21.71,19.71,20.21,20.21,17.5,18.36,17.0,15.14,13.71,12.29,11.36,10.0,9.29,9.79,7.14,6.93,6.0,5.0,5.14,3.5,3.07,2.5,2.36,2.43,2.0,2.07,1.5,1.14,1.21,0.86,1.07,1.21,1.14,1.14,1.0,0.93,0.79,0.71,0.79,0.71,0.71
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.14,0.21,0.21,0.21,0.29,0.29,0.36,0.5,0.5,0.5,0.57,0.57,0.5,0.57,0.86,0.93,1.0,1.14,1.07,1.07,1.0,0.86,0.86,0.86,0.79,0.79,0.79,1.0,0.71,0.57,0.5,0.43,0.43,0.43,0.43,0.5,0.57,0.57,0.57,0.57,0.79,0.79,0.79,0.79,0.86,0.79,0.79,1.29,1.29,1.36,1.29,1.29,1.29,1.5,1.29,0.93,0.93,1.07,1.14,1.14,1.57,1.21
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.21,0.21,0.21,0.5,0.43,0.43,0.43,0.43,0.43,0.43,0.57,1.0,1.0,1.0,0.86,1.14,1.14,0.86,0.86,1.0,1.0,1.14,1.14,1.14,1.0,0.57,0.57,0.57,0.57,0.29,0.36,0.36,0.36,0.21,0.21,0.07,0.07,0.07,0.07,0.14,0.14,0.14,0.14,0.14,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.14,0.57,0.86,0.86,1.21,1.36,1.36,2.21,2.43,3.21,4.0,4.79,5.57,6.86,9.0,10.71,18.14,20.64,26.43,26.29,34.5,39.86,46.86,50.0,54.57,70.43,69.64,74.0,81.21,92.36,84.64,89.5,88.64,94.86,92.36,99.0,91.79,99.79,99.14,87.36,99.21,102.71,100.29,93.36,99.14,99.07,100.21,102.07,117.14,116.57,128.93,125.0,128.21,132.14,131.57,132.64,133.07,137.36,138.86,139.0,142.07,147.43,138.29,143.14,142.57,153.0,162.5,174.0,185.29,193.29,210.5,223.14,234.64,248.86,270.64,291.07,325.71,359.86
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.29,0.57,1.29,1.79,3.64,5.5,5.93,8.14,9.64,11.36,13.79,16.71,17.71,18.86,20.43,22.93,27.79,28.43,30.71,32.43,34.79,39.14,42.86,43.57,44.86,42.71,43.14,44.0,45.07,43.43,40.0,42.07,39.79,38.21,38.57,35.43,33.21,34.14,33.5,36.14,39.14,42.29,43.0,47.07,50.71,52.36,54.93,57.14,58.64,64.79,67.64,73.21,78.21,83.43,87.0,93.5,97.21,102.36,107.0,111.93,113.14,119.36,127.57,128.14,135.43,143.57,149.0,165.43,173.0,177.79,194.43,207.07
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.0,1.07,1.07,0.79,0.71,0.71,0.64,0.43,0.43,0.21,0.21,0.21,0.14,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.86,1.07,1.71,2.64,2.86,3.21,3.43,4.36,5.43,6.57,8.07,8.07,13.21,16.07,19.29,24.79,29.5,36.86,44.71,52.21,72.0,105.21,113.64,138.36,159.71,191.57,210.21,242.14,263.36,284.57,293.36,306.71,316.79,324.21,319.93,295.57,293.93,275.07,260.43,235.57,219.43,190.21,166.5,142.14,132.57,112.71,96.14,85.14,72.71,65.93,59.0,53.57,45.86,39.57,33.0,27.93,28.5,26.43,23.5,22.29,21.71,18.29,16.5,15.14,16.0,16.43,17.29,17.93,17.21,17.5,16.71,17.79,16.86,16.93,18.07,18.36,17.5,16.57,15.79,14.07,13.36,13.0,12.93
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.21,0.21,0.64,1.0,1.29,1.5,2.07,2.93,3.93,5.64,7.43,9.36,12.86,17.43,21.36,35.79,46.14,60.43,71.43,93.64,115.5,140.86,166.64,195.36,248.43,310.21,364.36,381.57,471.93,510.93,544.0,566.29,614.29,632.0,647.5,651.14,652.57,640.5,604.93,558.79,525.43,525.29,452.5,421.29,395.36,368.36,315.93,289.0,258.93,239.07,219.36,206.43,192.71,178.43,159.57,141.64,125.57,108.29,95.86,91.43,88.07,80.79,76.14,69.71,66.86,63.36,60.57,59.0,55.5,54.21,53.57,50.21,48.93,46.14,43.43,43.14,42.5,43.29,41.29,45.93,46.07,46.29,47.93,47.79,46.57,47.29
