Country/Region,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.43,0.43,0.5,0.43,0.71,0.93,0.86,0.79,0.79,1.0,1.0,1.21,1.36,1.5,1.71,1.71,1.64,1.86,1.79,1.57,1.86,1.93,2.0,2.07,2.29,2.57,2.5,2.5,2.43,2.71,3.0,3.71,3.86,4.21,4.57,4.57,4.71,4.86,5.0,4.64,4.93,5.14,5.14,6.07,6.86,6.0,5.93,5.93,5.93,6.21,6.86
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.14,0.14,0.14,0.14,0.14,0.29,0.36,0.29,0.36,0.5,0.64,0.64,0.71,1.0,0.93,1.0,1.07,1.29,1.29,1.21,1.21,1.21,1.21,1.07,0.93,0.93,0.86,0.64,0.71,0.71,0.64,0.43,0.43,0.36,0.29,0.36,0.29,0.29,0.29,0.36,0.36,0.43,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.29,0.29,0.29,0.29,0.21,0.21,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.21,0.29,0.29,0.29,0.5,0.64,0.79,1.07,1.21,1.21,1.36,1.5,1.71,1.71,1.86,1.93,2.21,2.86,3.64,5.5,6.71,8.21,9.64,11.14,12.43,13.14,15.0,16.43,17.57,18.71,19.86,20.14,19.86,18.71,18.5,16.93,15.93,15.07,14.21,14.07,12.29,11.36,10.29,9.43,8.5,7.93,7.71,7.29,6.36,6.57,6.29,5.79,5.57,5.29,5.43,5.21,5.36,5.5,5.36,5.57,5.57,5.64,5.93,5.93,6.07,6.43,6.5,6.57,6.57,6.71
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.21,0.21,0.21,0.43,0.57,0.86,1.0,1.07,1.14,1.21,1.21,1.43,1.5,1.57,1.57,1.64,1.64,1.64,1.5,1.36,1.36,1.29,1.36,1.29,1.29,1.14,1.07,1.0,0.86,1.0,1.0,0.79,0.79,0.71,0.64,0.64,0.57,0.64,0.64,0.57,0.64,0.64,0.71,0.5,0.57,0.57,0.57,0.5,0.5,0.5,0.43,0.5,0.43,0.43,0.36,0.36,0.29,0.29
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.21,0.21,0.21,0.21,0.21,0.14,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.14,0.14,0.14,0.14,0.14,0.14,0.21,0.21,0.29,0.21,0.21,0.36,0.5,0.57,0.79,1.14,1.21,1.5,1.79,1.86,2.36,2.57,2.79,2.86,3.14,3.57,3.93,4.5,4.93,4.64,5.07,5.29,5.36,5.93,5.64,6.0,6.14,6.29,6.29,6.5,6.36,6.64,6.71,7.29,7.29,7.14,7.5,7.36,7.36,7.29,7.71,8.14,8.86,8.36,8.64,8.36,8.36,8.21,8.07,8.36,8.0,8.21,9.64,9.36,9.0,9.07,8.71,9.21,9.29,9.57,10.0
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.21,0.21,0.21,0.29,0.5,0.5,0.5,0.5,0.57,0.57,0.64,0.64,0.79,0.86,0.71,0.79,0.93,0.93,0.79,0.86,0.93,0.93,1.0,1.14,1.07,1.0,1.07,1.07,1.07,1.07,1.0,0.93,1.0,1.0,0.93,1.07,1.21,1.14,1.14,1.29,1.14,1.14,1.21,1.21,1.21,1.29,1.21,1.36,1.57,1.79,1.57,1.71,1.93,2.0,2.21
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.14,0.14,0.14,0.14,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.14,0.14,0.29,0.29,0.29,0.36,0.36,0.29,0.29,0.36,0.36,0.71,0.71,0.79,0.93,1.0,0.93,1.0,1.29,1.5,1.64,2.0,2.36,2.64,3.0,2.71,2.93,3.07,3.14,3.14,3.14,3.07,2.79,2.71,2.64,2.29,1.93,1.57,1.21,1.71,1.79,1.64,1.64,1.57,1.93,2.0,2.14,1.93,1.93,2.0,2.07,2.14,2.14,1.57,1.29,1.21,1.0,1.0,0.64,0.5,0.36,0.36,0.29,0.29,0.21,0.21,0.21,0.29,0.29
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.21,0.21,0.29,0.43,0.43,0.57,1.14,1.5,2.0,2.14,3.43,4.07,4.79,6.07,7.5,8.93,10.14,10.86,11.57,12.71,13.43,14.21,15.36,17.36,17.57,18.64,19.21,18.86,18.57,18.29,17.64,18.0,18.79,18.36,17.71,17.86,17.71,16.93,16.21,15.07,14.21,13.71,12.93,13.21,13.36,12.43,11.29,10.93,10.43,9.29,8.21,7.0,6.21,6.0,5.64,5.43,5.07,3.86,3.14,3.0,2.79,2.36,2.21,2.07,1.86,1.79,1.71,1.5
