,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
India,102.0,113.0,119.0,142.0,156.0,194.0,244.0,330.0,396.0,499.0,536.0,657.0,727.0,887.0,987.0,1024.0,1251.0,1397.0,1998.0,2543.0,2567.0,3082.0,3588.0,4778.0,5311.0,5916.0,6725.0,7598.0,8446.0,9205.0,10453.0,11487.0,12322.0,13430.0,14352.0,15722.0,17615.0,18539.0,20080.0,21370.0,23077.0,24530.0,26283.0,27890.0,29451.0,31324.0,33062.0,34863.0,37257.0,39699.0,42505.0,46437.0,49400.0,52987.0,56351.0,59695.0,62808.0,67161.0,70768.0,74292.0,78055.0,81997.0,85784.0,90648.0,95698.0,100328.0,106475.0,112028.0,118226.0,124794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World without China,125.0,147.0,157.0,165.0,185.0,195.0,207.0,281.0,306.0,321.0,408.0,416.0,462.0,473.0,527.0,617.0,711.0,824.0,925.0,1020.0,1120.0,1269.0,1571.0,1936.0,2320.0,2652.0,3222.0,4146.0,5184.0,6655.0,8437.0,10170.0,12579.0,14734.0,17351.0,21116.0,25078.0,28999.0,32735.0,37736.0,44958.0,50075.0,64280.0,75143.0,86504.0,100620.0,116092.0,133771.0,161476.0,191014.0,223275.0,255587.0,296803.0,336704.0,386156.0,447940.0,511867.0,579175.0,638169.0,700618.0,775329.0,850649.0,931431.0,1013813.0,1093893.0,1167141.0,1238771.0,1313720.0,1397423.0,1483219.0,1575320.0,1653398.0,1752011.0,1821952.0,1892260.0,1972392.0,2068778.0,2156230.0,2233849.0,2316982.0,2388292.0,2465193.0,2540740.0,2624519.0,2711832.0,2797231.0,2871121.0,2939804.0,3013289.0,3088343.0,3172954.0,3261599.0,3343625.0,3422765.0,3499089.0,3578723.0,3672099.0,3761743.0,3854088.0,3940019.0,4017689.0,4093491.0,4177729.0,4262994.0,4358134.0,4458309.0,4550024.0,4629566.0,4717880.0,4813429.0,4912409.0,5018361.0,5126736.0,,,,,,,,,
US,118.0,149.0,219.0,267.0,403.0,519.0,588.0,962.0,1285.0,1667.0,2181.0,2729.0,3536.0,4661.0,6437.0,7781.0,13748.0,19274.0,25600.0,33280.0,43862.0,53925.0,65844.0,83836.0,101962.0,121786.0,140910.0,162147.0,188172.0,213602.0,244008.0,275798.0,309027.0,336802.0,366317.0,397121.0,428654.0,463327.0,496846.0,526776.0,555313.0,580624.0,607670.0,636674.0,667981.0,700062.0,732590.0,758809.0,784708.0,811865.0,840351.0,869170.0,905358.0,938154.0,965785.0,988197.0,1012582.0,1039909.0,1069424.0,1103461.0,1132539.0,1158040.0,1180375.0,1204351.0,1229331.0,1257023.0,1283929.0,1309550.0,1329260.0,1347881.0,1369376.0,1390406.0,1417774.0,1442824.0,1467820.0,1486757.0,1508308.0,1528568.0,1551853.0,1577147.0,1600937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,130.0,159.0,196.0,262.0,482.0,670.0,799.0,1040.0,1176.0,1457.0,1908.0,2078.0,3675.0,4585.0,5795.0,7272.0,9257.0,12327.0,15320.0,19848.0,22213.0,24873.0,29056.0,32986.0,37323.0,43938.0,50871.0,57695.0,62095.0,66885.0,71808.0,77872.0,84794.0,91159.0,96092.0,100123.0,103374.0,107663.0,113296.0,118181.0,122171.0,124908.0,127854.0,130072.0,131359.0,134753.0,137698.0,141397.0,143342.0,145184.0,147065.0,148291.0,150648.0,153129.0,154999.0,156513.0,157770.0,158758.0,159912.0,161539.0,163009.0,164077.0,164967.0,165664.0,166152.0,167007.0,168162.0,169430.0,170588.0,171324.0,171879.0,172576.0,173171.0,174098.0,174478.0,175233.0,175752.0,176369.0,176551.0,177778.0,178473.0,179021.0,179710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,155.0,229.0,322.0,453.0,655.0,888.0,1128.0,1694.0,2036.0,2502.0,3089.0,3858.0,4636.0,5883.0,7375.0,9172.0,10149.0,12462.0,15113.0,17660.0,21157.0,24747.0,27980.0,31506.0,35713.0,41035.0,47021.0,53578.0,59138.0,63927.0,69176.0,74386.0,80589.0,86498.0,92472.0,97689.0,101739.0,105792.0,110574.0,115242.0,119827.0,124632.0,128948.0,132547.0,135586.0,139422.0,143626.0,147577.0,152271.0,156363.0,159516.0,162488.0,165155.0,168941.0,172434.0,175925.0,178972.0,181228.0,183957.0,187327.0,189973.0,192994.0,195351.0,197675.0,199414.0,201505.0,203591.0,205463.0,207428.0,209328.0,210717.0,211938.0,213013.0,214457.0,215858.0,217185.0,218268.0,219070.0,219814.0,221216.0,222104.0,223096.0,223885.0,224760.0,225435.0,225886.0,226699.0,227364.0,228006.0,228658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,120.0,165.0,222.0,259.0,400.0,500.0,673.0,1073.0,1695.0,2277.0,2277.0,5232.0,6391.0,7798.0,9942.0,11748.0,13910.0,17963.0,20410.0,25374.0,28768.0,35136.0,39885.0,49515.0,57786.0,65719.0,73235.0,80110.0,87956.0,95923.0,104118.0,112065.0,119199.0,126168.0,131646.0,136675.0,141942.0,148220.0,153222.0,158273.0,163027.0,166831.0,170099.0,172541.0,177644.0,184948.0,190839.0,191726.0,198674.0,200210.0,204178.0,208389.0,213024.0,202990.0,205905.0,207634.0,209465.0,210773.0,212917.0,213435.0,215216.0,216582.0,217466.0,218011.0,219329.0,220325.0,221447.0,222857.0,223578.0,224350.0,227436.0,228030.0,228691.0,229540.0,230183.0,230698.0,230698.0,231606.0,232037.0,232555.0,233037.0,234824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,116.0,164.0,207.0,274.0,322.0,384.0,459.0,459.0,802.0,1144.0,1145.0,1551.0,1960.0,2642.0,2716.0,4014.0,5067.0,5745.0,6726.0,8164.0,9640.0,11812.0,14745.0,17312.0,19780.0,22453.0,25481.0,29865.0,34173.0,38689.0,42477.0,48436.0,52279.0,55949.0,61474.0,65872.0,74605.0,79874.0,85206.0,89570.0,94845.0,99483.0,104145.0,109769.0,115314.0,121172.0,125856.0,130172.0,134638.0,139246.0,144640.0,149569.0,154037.0,158348.0,162350.0,166441.0,172481.0,178685.0,183500.0,187842.0,191832.0,196243.0,202359.0,207977.0,212629.0,216525.0,220449.0,224332.0,227741.0,230985.0,234440.0,238004.0,241461.0,244995.0,247709.0,250138.0,249619.0,252246.0,255544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,130.0,191.0,204.0,288.0,380.0,656.0,959.0,1136.0,1219.0,1794.0,2293.0,2293.0,3681.0,4496.0,4532.0,6683.0,7715.0,9124.0,10970.0,12758.0,14463.0,16243.0,20123.0,22622.0,25600.0,29551.0,33402.0,38105.0,40708.0,45170.0,52827.0,57749.0,59929.0,65202.0,69500.0,71412.0,75343.0,79163.0,83057.0,87366.0,91738.0,94863.0,121712.0,125394.0,130365.0,133585.0,146075.0,148084.0,148086.0,153011.0,155393.0,158168.0,155980.0,158303.0,159952.0,161644.0,162220.0,165963.0,169053.0,166543.0,167299.0,167305.0,168518.0,168925.0,169583.0,170687.0,174224.0,174918.0,176202.0,176782.0,177094.0,177547.0,178349.0,178184.0,178994.0,179630.0,179630.0,179693.0,180051.0,180933.0,181700.0,181951.0,182015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,151.0,151.0,162.0,200.0,321.0,372.0,621.0,793.0,1021.0,1546.0,1924.0,2247.0,2554.0,2985.0,3417.0,3904.0,4256.0,4579.0,5717.0,6836.0,8044.0,9056.0,10360.0,11130.0,12161.0,14034.0,16170.0,18092.0,19638.0,20727.0,22192.0,23430.0,25262.0,28320.0,30425.0,33682.0,36658.0,38654.0,40743.0,43079.0,45757.0,50036.0,54043.0,59324.0,63100.0,67446.0,73235.0,79685.0,87187.0,92202.0,97100.0,101826.0,108620.0,115455.0,126611.0,135773.0,146894.0,156061.0,162699.0,169594.0,178214.0,190137.0,203165.0,220291.0,233511.0,241080.0,255368.0,271885.0,291579.0,310087.0,330890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Korea,104.0,204.0,433.0,602.0,833.0,977.0,1261.0,1766.0,2337.0,3150.0,3736.0,4335.0,5186.0,5621.0,6088.0,6593.0,7041.0,7314.0,7478.0,7513.0,7755.0,7869.0,7979.0,8086.0,8162.0,8236.0,8320.0,8413.0,8565.0,8652.0,8799.0,8961.0,8961.0,9037.0,9137.0,9241.0,9332.0,9478.0,9583.0,9661.0,9786.0,9887.0,9976.0,10062.0,10156.0,10237.0,10284.0,10331.0,10384.0,10423.0,10450.0,10480.0,10512.0,10537.0,10564.0,10591.0,10613.0,10635.0,10653.0,10661.0,10674.0,10683.0,10694.0,10708.0,10718.0,10728.0,10738.0,10752.0,10761.0,10765.0,10774.0,10780.0,10793.0,10801.0,10804.0,10806.0,10810.0,10822.0,10840.0,10874.0,10909.0,10936.0,10962.0,10991.0,11018.0,11037.0,11050.0,11065.0,11078.0,11110.0,11122.0,11142.0,11165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
