,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
India,12.0,20.0,20.0,24.0,27.0,32.0,35.0,58.0,72.0,72.0,86.0,99.0,136.0,150.0,178.0,226.0,246.0,288.0,331.0,358.0,393.0,405.0,448.0,486.0,521.0,559.0,592.0,645.0,681.0,721.0,780.0,825.0,881.0,939.0,1008.0,1079.0,1154.0,1223.0,1323.0,1391.0,1566.0,1693.0,1785.0,1889.0,1985.0,2101.0,2212.0,2294.0,2415.0,2551.0,2649.0,2753.0,2871.0,3025.0,3156.0,3302.0,3434.0,3584.0,3726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World without China,13.0,15.0,24.0,34.0,43.0,53.0,68.0,82.0,104.0,124.0,171.0,213.0,271.0,332.0,415.0,486.0,701.0,864.0,1124.0,1453.0,1740.0,2229.0,2639.0,3270.0,3934.0,4727.0,5583.0,6698.0,8170.0,9866.0,11552.0,13485.0,15736.0,18504.0,21497.0,24996.0,28512.0,32019.0,36135.0,40929.0,46369.0,52512.0,58500.0,64666.0,69744.0,75432.0,83327.0,90017.0,97576.0,104797.0,110827.0,116510.0,122216.0,129094.0,137339.0,144617.0,152185.0,158600.0,163136.0,168488.0,175600.0,182276.0,189029.0,195361.0,201551.0,205263.0,209807.0,216164.0,223028.0,228723.0,233982.0,239176.0,242833.0,246900.0,252602.0,259218.0,264930.0,270261.0,274674.0,278072.0,281693.0,287305.0,292560.0,297781.0,303029.0,307143.0,310547.0,313843.0,318647.0,323477.0,328286.0,333522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,11.0,12.0,14.0,17.0,21.0,22.0,28.0,36.0,42.0,50.0,60.0,74.0,100.0,134.0,165.0,259.0,350.0,442.0,587.0,786.0,1011.0,1320.0,1726.0,2269.0,2744.0,3420.0,4196.0,5367.0,6511.0,7938.0,9260.0,10870.0,12375.0,13894.0,16191.0,18270.0,20288.0,22357.0,24366.0,26086.0,27870.0,30262.0,32760.0,34844.0,37428.0,39775.0,40945.0,42686.0,45086.0,47412.0,49724.0,51493.0,53755.0,54881.0,56219.0,58355.0,60967.0,62996.0,64943.0,66369.0,67682.0,68922.0,71064.0,73455.0,75662.0,77180.0,78795.0,79526.0,80682.0,82356.0,84119.0,85898.0,87530.0,88754.0,89562.0,90347.0,91921.0,93439.0,94702.0,95979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,11.0,17.0,24.0,28.0,44.0,67.0,84.0,94.0,123.0,157.0,206.0,267.0,342.0,433.0,533.0,645.0,775.0,920.0,1107.0,1275.0,1444.0,1584.0,1810.0,2016.0,2349.0,2607.0,2767.0,2736.0,3022.0,3194.0,3294.0,3804.0,4052.0,4352.0,4459.0,4586.0,4862.0,5033.0,5279.0,5575.0,5760.0,5877.0,5976.0,6126.0,6314.0,6467.0,6623.0,6736.0,6812.0,6866.0,6993.0,6993.0,7275.0,7392.0,7510.0,7549.0,7569.0,7661.0,7738.0,7861.0,7884.0,7897.0,7938.0,7962.0,8003.0,8081.0,8144.0,8203.0,8228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,12.0,17.0,21.0,29.0,34.0,52.0,79.0,107.0,148.0,197.0,233.0,366.0,463.0,631.0,827.0,1016.0,1266.0,1441.0,1809.0,2158.0,2503.0,2978.0,3405.0,4032.0,4825.0,5476.0,6077.0,6820.0,7503.0,8215.0,9134.0,10023.0,10779.0,11591.0,12428.0,13155.0,13915.0,14681.0,15362.0,15887.0,16523.0,17127.0,17669.0,18279.0,18849.0,19468.0,19899.0,20465.0,21067.0,21645.0,22170.0,22745.0,23227.0,23660.0,24114.0,24648.0,25085.0,25549.0,25969.0,26384.0,26644.0,26977.0,27359.0,27682.0,27967.0,28236.0,28710.0,28884.0,29079.0,29315.0,29684.0,29958.0,30201.0,30395.0,30560.0,30739.0,30911.0,31106.0,31368.0,31610.0,31763.0,31908.0,32007.0,32169.0,32330.0,32486.0,32616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,17.0,28.0,35.0,54.0,55.0,133.0,195.0,289.0,342.0,533.0,623.0,830.0,1043.0,1375.0,1772.0,2311.0,2808.0,3647.0,4365.0,5138.0,5982.0,6803.0,7716.0,8464.0,9387.0,10348.0,11198.0,11947.0,12641.0,13341.0,14045.0,14792.0,15447.0,16081.0,16606.0,17209.0,17756.0,18056.0,18708.0,19315.0,20002.0,20043.0,20453.0,20852.0,21282.0,21717.0,22157.0,22524.0,22902.0,23190.0,23521.0,23822.0,24275.0,24543.0,24543.0,25100.0,25264.0,25428.0,25613.0,25857.0,26070.0,26299.0,26478.0,26621.0,26744.0,26920.0,27104.0,27321.0,27459.0,27563.0,27563.0,27709.0,27778.0,27888.0,27940.0,28628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,28.0,43.0,66.0,82.0,116.0,159.0,195.0,251.0,286.0,360.0,509.0,695.0,879.0,1163.0,1457.0,1672.0,2046.0,2429.0,3100.0,3752.0,4467.0,5228.0,5874.0,6445.0,7483.0,8519.0,9623.0,10776.0,11616.0,12302.0,13047.0,14095.0,14941.0,15974.0,16910.0,18028.0,18527.0,19092.0,20264.0,21111.0,21840.0,22853.0,23697.0,24117.0,24458.0,25369.0,26166.0,26842.0,27583.0,28205.0,28520.0,28809.0,29501.0,30150.0,30689.0,31316.0,31662.0,31930.0,32141.0,32769.0,33264.0,33693.0,34078.0,34546.0,34716.0,34876.0,35422.0,35786.0,36124.0,36475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,11.0,19.0,19.0,33.0,48.0,48.0,79.0,91.0,91.0,149.0,149.0,149.0,244.0,451.0,563.0,676.0,862.0,1102.0,1333.0,1698.0,1997.0,2317.0,2611.0,3030.0,3532.0,4414.0,5398.0,6520.0,7574.0,8093.0,8926.0,10343.0,10887.0,12228.0,13215.0,13851.0,14412.0,14986.0,15731.0,17169.0,17922.0,18683.0,19325.0,19720.0,20267.0,20798.0,21342.0,21858.0,22248.0,22617.0,22859.0,23296.0,23663.0,24090.0,24379.0,24597.0,24763.0,24900.0,25204.0,25537.0,25812.0,25990.0,26233.0,26313.0,26383.0,26646.0,26994.0,27077.0,27428.0,27532.0,27532.0,28111.0,28242.0,28025.0,28135.0,28218.0,28218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,11.0,15.0,25.0,34.0,46.0,59.0,77.0,92.0,111.0,136.0,159.0,201.0,240.0,324.0,359.0,445.0,486.0,564.0,686.0,819.0,950.0,1057.0,1124.0,1223.0,1328.0,1532.0,1736.0,1924.0,2141.0,2354.0,2462.0,2587.0,2741.0,2906.0,3331.0,3704.0,4057.0,4286.0,4603.0,5083.0,5513.0,6006.0,6412.0,6761.0,7051.0,7367.0,7938.0,8588.0,9190.0,10017.0,10656.0,11123.0,11653.0,12461.0,13240.0,13999.0,14962.0,15662.0,16118.0,16853.0,17983.0,18859.0,20047.0,21048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Korea,12.0,13.0,13.0,16.0,17.0,28.0,28.0,35.0,35.0,42.0,44.0,50.0,53.0,54.0,60.0,66.0,66.0,72.0,75.0,75.0,81.0,84.0,91.0,94.0,102.0,111.0,111.0,120.0,126.0,131.0,139.0,144.0,152.0,158.0,162.0,165.0,169.0,174.0,177.0,183.0,186.0,192.0,200.0,204.0,208.0,211.0,214.0,217.0,222.0,225.0,229.0,230.0,232.0,234.0,236.0,237.0,238.0,240.0,240.0,242.0,243.0,244.0,246.0,247.0,248.0,250.0,250.0,252.0,254.0,255.0,256.0,256.0,256.0,256.0,256.0,258.0,259.0,260.0,260.0,262.0,262.0,263.0,263.0,263.0,264.0,264.0,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,12.0,16.0,19.0,26.0,34.0,43.0,54.0,66.0,77.0,92.0,107.0,124.0,145.0,194.0,237.0,291.0,354.0,429.0,514.0,611.0,724.0,853.0,988.0,1135.0,1284.0,1433.0,1556.0,1685.0,1812.0,1934.0,2077.0,2234.0,2378.0,2517.0,2640.0,2757.0,2898.0,3036.0,3160.0,3294.0,3452.0,3603.0,3739.0,3872.0,3993.0,4110.0,4232.0,4357.0,4474.0,4585.0,4683.0,4777.0,4869.0,4958.0,5031.0,5118.0,5209.0,5297.0,5391.0,5481.0,5574.0,5650.0,5710.0,5806.0,5877.0,5957.0,6028.0,6091.0,6156.0,6203.0,6277.0,6340.0,6418.0,6486.0,6541.0,6589.0,6640.0,6685.0,6733.0,6783.0,6854.0,6902.0,6937.0,6988.0,7057.0,7119.0,7183.0,7249.0,7300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,14.0,21.0,37.0,67.0,75.0,88.0,122.0,178.0,220.0,289.0,353.0,431.0,513.0,705.0,828.0,1011.0,1143.0,1283.0,1447.0,1632.0,2035.0,2240.0,2523.0,3019.0,3346.0,3600.0,3903.0,4157.0,4440.0,4857.0,5163.0,5453.0,5683.0,5828.0,5998.0,6262.0,6490.0,6679.0,6917.0,7094.0,7207.0,7331.0,7501.0,7594.0,7703.0,7765.0,7844.0,7924.0,8016.0,8339.0,8415.0,8521.0,8581.0,8656.0,8707.0,8761.0,8843.0,8903.0,8959.0,9005.0,9052.0,9080.0,9108.0,9150.0,9186.0,9212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
