,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
India,5.5866,5.6995,5.5,5.4299,5.0584,5.9441,6.0686,7.8385,8.0,9.5745,7.9208,9.1603,9.3366,9.3973,10.2845,7.6857,7.0348,5.8184,7.5294,7.9521,6.9991,7.0353,7.8356,8.7652,8.8435,8.6061,7.3831,8.021,5.822,4.7798,4.8876,4.487,4.0132,3.1344,2.8293,2.7659,2.8033,2.4095,2.3048,2.2127,2.0965,2.0175,2.0463,1.8878,1.852,1.7788,1.6668,1.7132,1.7233,1.7366,1.7877,2.0067,2.0266,2.1324,2.2623,2.2619,2.2283,2.3006,2.1246,2.0763,2.0142,1.8387,1.7796,1.761,1.7154,1.6813,1.7624,1.7301,1.7539,1.8158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World without China,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.2762,4.0,3.1772,3.6757,4.0282,3.598,4.2759,4.9708,6.448,7.4538,7.3578,7.9606,9.1778,10.5751,12.3197,14.2463,15.8849,15.6928,14.2597,13.8098,14.2508,13.3509,11.1945,9.6922,8.3331,7.8244,7.003,7.4072,7.3012,7.0858,6.8409,6.6668,6.5637,7.3252,7.2247,7.0986,7.3629,6.6394,6.4424,6.4659,6.3341,6.1993,5.9797,5.3091,4.7536,4.4262,4.0999,3.6619,3.3579,3.0171,2.659,2.4047,2.1363,1.9823,1.8393,1.7035,1.5609,1.5192,1.4176,1.329,1.2615,1.2433,1.1891,1.148,1.0914,1.0651,1.0667,1.0205,0.9912,0.9949,1.0045,0.9744,0.9655,0.9616,0.9525,0.9542,0.9549,0.9558,0.9667,0.9842,0.9887,1.0433,1.0534,1.057,1.0689,1.0776,1.0755,1.0795,1.0687,1.0738,1.0852,1.0784,1.0761,1.0933,1.1125,1.1328,1.1445,1.1481,,,,,,,,,
US,34.4828,44.8276,8.042,10.7527,14.9533,19.9377,20.8333,30.7888,37.156,34.1021,36.4,34.1916,29.2998,32.3333,28.2209,25.7778,44.9948,37.5288,37.2477,36.9703,36.9637,35.6921,33.5436,30.7213,26.172,25.2064,15.9113,12.4466,10.6557,9.0202,7.4028,6.5645,5.8007,4.7681,4.0923,3.5101,3.1309,2.7852,2.4326,2.1159,1.898,1.6708,1.4857,1.3707,1.2693,1.1843,1.1346,1.0725,1.0336,1.0084,0.983,0.9615,0.9788,0.9718,0.9764,0.9593,0.9478,0.9457,0.9573,0.9553,0.9443,0.9474,0.9409,0.9323,0.9229,0.9206,0.8914,0.8779,0.853,0.8305,0.8252,0.8069,0.8125,0.8097,0.8138,0.8122,0.8475,0.8573,0.8884,0.8862,0.8863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,55.1724,95.2381,123.8095,242.8571,442.8571,1271.4286,130.3797,60.7477,63.3188,40.0,28.8698,22.331,33.3593,30.7911,20.3965,18.647,19.9178,20.3445,22.8337,22.4577,18.7407,18.775,12.0122,10.5325,8.8251,8.0461,6.8479,5.8819,5.0167,3.9449,3.6259,3.4029,2.9311,2.5554,2.1683,1.8171,1.5464,1.3502,1.2585,1.1202,0.9915,0.8794,0.7984,0.7488,0.6415,0.5702,0.5252,0.515,0.4852,0.4669,0.4767,0.5039,0.4835,0.4883,0.4568,0.4632,0.4758,0.4654,0.4919,0.4834,0.4521,0.4469,0.4528,0.4519,0.4503,0.4492,0.4427,0.4475,0.456,0.4746,0.4912,0.5667,0.5704,0.5797,0.5288,0.4967,0.506,0.5505,0.5101,0.622,0.6202,0.6575,0.6758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,104.7619,457.1429,657.1429,914.2857,1328.5714,1771.4286,2171.4286,3142.8571,213.2231,73.8717,34.7145,28.3767,23.4752,21.1263,17.4361,16.1209,13.5889,11.0854,11.0736,10.4258,9.8988,9.0137,8.1496,7.3378,6.4416,5.7969,5.975,5.3999,4.7574,4.2863,3.7613,3.3553,3.0494,2.7224,2.3843,2.0738,1.7843,1.5355,1.3983,1.2656,1.1292,1.0386,0.9549,0.8951,0.8355,0.791,0.7697,0.7471,0.7383,0.7388,0.7409,0.7572,0.7372,0.7377,0.7486,0.7274,0.7174,0.711,0.718,0.7557,0.7281,0.7252,0.7118,0.6966,0.6914,0.6843,0.6501,0.6364,0.5968,0.5836,0.5628,0.5515,0.5343,0.5259,0.5211,0.5002,0.4651,0.4573,0.4501,0.4912,0.4816,0.4714,0.4611,0.4784,0.4916,0.5018,0.4783,0.4914,0.4811,0.4844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,242.8571,328.5714,inf,inf,182.7586,82.2785,90.3226,63.5514,71.3355,50.1706,34.1637,59.2784,53.5964,55.4466,44.5656,40.3711,34.6756,29.2941,17.9708,16.7708,18.543,9.6896,8.8685,9.2305,8.109,7.8237,6.9929,5.8004,5.2795,4.5055,3.8868,3.1869,2.8007,2.2412,1.8568,1.6109,1.3769,1.2197,1.0552,0.9284,0.8173,0.7477,0.6767,0.6071,0.572,0.6249,0.6382,0.5815,0.6673,0.6507,0.7047,0.709,0.6836,0.3172,0.3858,0.2459,0.2583,0.2012,0.1351,0.013,0.393,0.3548,0.3289,0.3823,0.399,0.363,0.4072,0.3999,0.3965,0.4831,0.773,0.7001,0.8903,0.9092,0.9675,1.1929,1.5075,0.42,0.4531,0.4623,0.3895,0.5379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,38.8889,58.3333,89.6552,79.0698,50.6329,48.0,27.4611,22.1719,30.3333,24.3636,16.2304,15.8988,15.9123,16.4818,14.5899,17.3208,17.5769,20.719,13.2295,11.0653,12.6247,12.0356,11.2423,9.5799,10.7964,8.1709,7.1268,7.3927,6.9825,6.1561,5.4819,5.0485,4.2784,3.7693,3.3928,3.0328,3.054,2.7472,2.3379,2.1508,2.0796,1.7807,1.6805,1.4716,1.3675,1.3306,1.2124,1.1294,1.0746,1.0459,1.0055,0.9842,0.9394,0.9143,0.8836,0.8744,0.9034,0.9175,0.9275,0.9214,0.9561,0.9726,1.0436,1.0322,1.0056,0.9865,0.9543,0.9432,0.9239,0.8586,0.8021,0.7681,0.7364,0.7143,0.6878,0.6691,0.5612,0.5398,0.5365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,39.5349,60.4651,385.7143,557.1429,700.0,409.5238,246.0,74.6114,44.6809,36.089,33.9265,21.3448,31.5098,25.6215,18.4481,16.9783,12.5074,12.1559,14.3835,10.2014,8.7631,10.3868,7.4171,6.7834,7.4866,5.7234,5.4967,5.3506,4.6204,4.1391,4.4735,4.2564,3.2141,3.0537,2.694,2.2527,2.0302,1.5671,1.399,1.4259,1.1765,1.0431,2.0549,1.9087,1.8608,1.8317,2.1264,1.993,1.8526,1.0827,1.0286,0.9797,0.5529,0.3049,0.306,0.3576,0.2139,0.2551,0.277,0.2589,0.2247,0.1861,0.1885,0.1891,0.1061,0.0488,0.3791,0.3755,0.4599,0.5017,0.7698,0.8289,0.7503,0.4979,0.5742,0.548,0.3123,0.3126,0.3084,0.3413,0.4725,0.51,0.5136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,142.8571,68.9655,68.9655,26.8817,44.086,33.5664,45.2514,41.629,46.9697,54.3956,22.9692,25.8459,27.2966,23.9038,16.4546,15.6714,8.7815,6.8031,6.8889,5.6147,5.3303,5.0919,5.1305,4.6874,4.6423,4.4317,4.5584,4.5877,3.9229,3.2076,2.98,2.7278,2.4045,2.5359,2.4097,2.3826,2.3402,2.1797,2.1344,2.1179,1.9444,2.081,2.0837,2.11,2.1844,2.1688,2.2934,2.4654,2.5995,2.6274,2.5538,2.4245,2.3935,2.1876,2.2943,2.2077,2.2801,2.2958,2.1448,2.084,2.0768,2.0112,1.9856,2.0282,1.9157,1.8284,1.8475,1.9367,2.037,2.0935,2.1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Korea,6.7073,14.6199,33.9181,47.9532,95.0413,118.4211,176.0,221.4953,285.0467,451.1628,77.3748,38.8802,20.5751,15.1177,10.7174,8.9689,6.3132,4.1163,2.7224,1.4888,1.1519,0.826,0.5377,0.3732,0.2831,0.2367,0.2436,0.1961,0.2086,0.2056,0.2199,0.2615,0.2581,0.2893,0.3258,0.3481,0.4333,0.4864,0.503,0.6799,0.8521,0.9096,0.9912,0.9554,0.9827,0.949,0.9209,0.7845,0.6995,0.6287,0.5253,0.4369,0.3869,0.3575,0.3405,0.3292,0.2857,0.2813,0.2807,0.2487,0.2504,0.2375,0.226,0.2237,0.2159,0.2187,0.2418,0.2688,0.3099,0.3301,0.323,0.358,0.4065,0.442,0.3657,0.3388,0.3717,0.4557,0.6397,0.9654,1.3043,1.834,2.2,2.6,3.014,3.1854,3.0157,2.7027,2.2962,2.0134,1.5561,1.3699,1.2535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
