Date,Country/Region,value
2020-01-22,Afghanistan,
2020-01-23,Afghanistan,
2020-01-24,Afghanistan,
2020-01-25,Afghanistan,
2020-01-26,Afghanistan,
2020-01-27,Afghanistan,
2020-01-28,Afghanistan,
2020-01-29,Afghanistan,
2020-01-30,Afghanistan,
2020-01-31,Afghanistan,
2020-02-01,Afghanistan,
2020-02-02,Afghanistan,
2020-02-03,Afghanistan,
2020-02-04,Afghanistan,
2020-02-05,Afghanistan,
2020-02-06,Afghanistan,
2020-02-07,Afghanistan,
2020-02-08,Afghanistan,
2020-02-09,Afghanistan,
2020-02-10,Afghanistan,
2020-02-11,Afghanistan,
2020-02-12,Afghanistan,
2020-02-13,Afghanistan,
2020-02-14,Afghanistan,
2020-02-15,Afghanistan,
2020-02-16,Afghanistan,
2020-02-17,Afghanistan,
2020-02-18,Afghanistan,
2020-02-19,Afghanistan,
2020-02-20,Afghanistan,
2020-02-21,Afghanistan,
2020-02-22,Afghanistan,
2020-02-23,Afghanistan,
2020-02-24,Afghanistan,
2020-02-25,Afghanistan,
2020-02-26,Afghanistan,
2020-02-27,Afghanistan,
2020-02-28,Afghanistan,
2020-02-29,Afghanistan,
2020-03-01,Afghanistan,
2020-03-02,Afghanistan,
2020-03-03,Afghanistan,
2020-03-04,Afghanistan,
2020-03-05,Afghanistan,
2020-03-06,Afghanistan,
2020-03-07,Afghanistan,
2020-03-08,Afghanistan,
2020-03-09,Afghanistan,
2020-03-10,Afghanistan,
2020-03-11,Afghanistan,
2020-03-12,Afghanistan,
2020-03-13,Afghanistan,
2020-03-14,Afghanistan,
2020-03-15,Afghanistan,
2020-03-16,Afghanistan,
2020-03-17,Afghanistan,
2020-03-18,Afghanistan,
2020-03-19,Afghanistan,
2020-03-20,Afghanistan,
2020-03-21,Afghanistan,
2020-03-22,Afghanistan,
2020-03-23,Afghanistan,
2020-03-24,Afghanistan,
2020-03-25,Afghanistan,
2020-03-26,Afghanistan,inf
2020-03-27,Afghanistan,inf
2020-03-28,Afghanistan,inf
2020-03-29,Afghanistan,
2020-03-30,Afghanistan,0.0
2020-03-31,Afghanistan,0.0
2020-04-01,Afghanistan,0.0
2020-04-02,Afghanistan,0.0
2020-04-03,Afghanistan,0.0
2020-04-04,Afghanistan,0.0
2020-04-05,Afghanistan,0.0
2020-04-06,Afghanistan,3.4483
2020-04-07,Afghanistan,3.4483
2020-04-08,Afghanistan,3.4483
2020-04-09,Afghanistan,3.4483
2020-04-10,Afghanistan,2.3256
2020-04-11,Afghanistan,4.6512
2020-04-12,Afghanistan,4.0
2020-04-13,Afghanistan,2.3256
2020-04-14,Afghanistan,1.4085
2020-04-15,Afghanistan,2.1505
2020-04-16,Afghanistan,2.3256
2020-04-17,Afghanistan,2.5316
2020-04-18,Afghanistan,2.5316
2020-04-19,Afghanistan,2.0
2020-04-20,Afghanistan,2.0
2020-04-21,Afghanistan,1.6529
2020-04-22,Afghanistan,1.4706
2020-04-23,Afghanistan,1.3333
2020-04-24,Afghanistan,1.1696
2020-04-25,Afghanistan,1.1696
2020-04-26,Afghanistan,1.2195
2020-04-27,Afghanistan,1.6129
2020-04-28,Afghanistan,1.676
2020-04-29,Afghanistan,1.9108
2020-04-30,Afghanistan,1.6129
2020-05-01,Afghanistan,2.0725
2020-05-02,Afghanistan,2.0
2020-05-03,Afghanistan,2.4155
2020-05-04,Afghanistan,2.1834
2020-05-05,Afghanistan,1.9455
2020-05-06,Afghanistan,2.4
2020-05-07,Afghanistan,2.4
2020-05-08,Afghanistan,2.4691
2020-05-09,Afghanistan,2.214
2020-05-10,Afghanistan,1.6667
2020-05-11,Afghanistan,1.3477
2020-05-12,Afghanistan,1.2953
2020-05-13,Afghanistan,0.9501
2020-05-14,Afghanistan,0.8753
2020-05-15,Afghanistan,1.3129
2020-05-16,Afghanistan,1.6985
2020-05-17,Afghanistan,1.4403
2020-05-18,Afghanistan,1.4
2020-05-19,Afghanistan,1.5086
2020-05-20,Afghanistan,1.6227
2020-05-21,Afghanistan,1.5564
2020-05-22,Afghanistan,1.3619
2020-05-23,Afghanistan,1.1532
2020-05-24,Afghanistan,1.0204
2020-05-25,Afghanistan,1.1667
2020-05-26,Afghanistan,1.0118
2020-05-27,Afghanistan,1.0118
2020-05-28,Afghanistan,1.0118
2020-05-29,Afghanistan,0.9662
2020-05-30,Afghanistan,0.7289
2020-05-31,Afghanistan,0.8322
2020-06-01,Afghanistan,1.0
2020-06-02,Afghanistan,1.0101
2020-06-03,Afghanistan,1.506
2020-06-04,Afghanistan,1.3255
2020-06-05,Afghanistan,1.273
2020-06-06,Afghanistan,1.6566
2020-06-07,Afghanistan,2.418
2020-06-08,Afghanistan,2.3847
2020-06-09,Afghanistan,2.4353
2020-06-10,Afghanistan,2.4353
2020-06-11,Afghanistan,2.356
2020-06-12,Afghanistan,2.6178
2020-06-13,Afghanistan,2.4226
2020-06-14,Afghanistan,2.0177
2020-06-15,Afghanistan,1.6113
2020-06-16,Afghanistan,1.4006
2020-06-17,Afghanistan,1.1956
2020-06-18,Afghanistan,1.3375
