Country,Deaths,Biweekly Deaths,Increase Biweekly,GBI,Slope Increase,Slope Growth,Removed,Biweekly Growth,Reproductive Factor,Daily Deaths,Confirmed
Afghanistan,60,17,7,7,0.4118,0.4118,3000,1.3953,1.7,2,4186.0
Albania,30,3,2,3,0.6667,1.0,1500,1.1111,1.5,0,1667.0
Algeria,444,29,-11,-2,-0.3793,-0.069,22200,1.0699,0.3625,7,23752.0
Andorra,42,2,-2,-1,-1.0,-0.5,2100,1.05,0.2857,1,2205.0
Angola,2,0,0,0,,,100,1.0,,0,100.0
Antigua and Barbuda,3,0,0,1,,inf,150,1.0,,0,150.0
Argentina,214,38,-6,-20,-0.1579,-0.5263,10700,1.2159,1.3103,7,13010.0
Armenia,30,3,-4,-7,-1.3333,-2.3333,1500,1.1111,0.6,0,1667.0
Australia,91,12,0,-7,0.0,-0.5833,4550,1.1519,1.3333,2,5241.0
Austria,580,50,-28,-38,-0.56,-0.76,29000,1.0943,0.6757,11,31735.0
Azerbaijan,23,2,0,4,0.0,2.0,1150,1.0952,0.6667,1,1259.0
Bahamas,11,0,-2,-3,-inf,-inf,550,1.0,,0,550.0
Bahrain,8,0,-1,-2,-inf,-inf,400,1.0,0.0,0,400.0
Bangladesh,163,32,-8,-3,-0.25,-0.0938,8150,1.2443,1.3913,8,10141.0
Barbados,7,1,0,0,0.0,0.0,350,1.1667,1.0,1,408.0
Belarus,84,21,5,3,0.2381,0.1429,4200,1.3333,1.2353,5,5600.0
Belgium,7501,822,-174,356,-0.2117,0.4331,375050,1.1231,0.5785,170,421219.0
Belize,2,0,0,0,,,100,1.0,,0,100.0
Benin,1,0,0,0,,,50,1.0,,0,50.0
Bhutan,0,0,0,0,,,0,,,0,
Bolivia,59,15,3,-5,0.2,-0.3333,2950,1.3409,1.6667,6,3956.0
Bosnia and Herzegovina,65,10,3,4,0.3,0.4,3250,1.1818,2.0,2,3841.0
Botswana,1,0,0,0,,,50,1.0,,0,50.0
Brazil,5513,1809,567,255,0.3134,0.141,275650,1.4884,2.6642,430,410277.0
Brunei,1,0,0,0,,,50,1.0,,0,50.0
Bulgaria,64,10,-2,-7,-0.2,-0.7,3200,1.1852,0.9091,6,3793.0
Burkina Faso,43,2,-3,-2,-1.5,-1.0,2150,1.0488,0.25,1,2255.0
Burma,6,1,1,2,1.0,2.0,300,1.2,1.0,1,360.0
Burundi,1,0,0,0,,,50,1.0,0.0,0,50.0
Cabo Verde,1,0,0,0,,,50,1.0,,0,50.0
Cambodia,0,0,0,0,,,0,,,0,
Cameroon,61,18,17,44,0.9444,2.4444,3050,1.4186,3.6,3,4327.0
Canada,3155,753,-84,-257,-0.1116,-0.3413,157750,1.3135,1.6696,172,207205.0
Central African Republic,0,0,0,0,,,0,,,0,
Chad,2,2,2,2,1.0,1.0,100,inf,inf,0,inf
Chile,216,42,1,1,0.0238,0.0238,10800,1.2414,1.4483,9,13407.0
China,4637,1,1,1292,1.0,1292.0,231850,1.0002,0.1667,0,231896.0
Colombia,278,53,7,13,0.1321,0.2453,13900,1.2356,1.0392,9,17175.0
Congo (Brazzaville),8,2,2,3,1.0,1.5,400,1.3333,inf,0,533.0
Congo (Kinshasa),30,5,5,10,1.0,2.0,1500,1.2,5.0,0,1800.0
Costa Rica,6,0,-1,0,-inf,,300,1.0,0.0,0,300.0
Cote d'Ivoire,14,0,-5,-7,-inf,-inf,700,1.0,0.0,0,700.0
Croatia,67,16,12,24,0.75,1.5,3350,1.3137,1.3333,4,4401.0
Cuba,58,9,-6,-8,-0.6667,-0.8889,2900,1.1837,1.0,0,3433.0
Cyprus,15,1,-1,-3,-1.0,-3.0,750,1.0714,0.5,0,804.0
Czechia,227,13,-15,-18,-1.1538,-1.3846,11350,1.0607,0.2766,0,12039.0
Denmark,443,40,-8,0,-0.2,0.0,22150,1.0993,0.6452,9,24349.0
Diamond Princess,13,0,0,1,,inf,650,1.0,0.0,0,650.0
Djibouti,2,0,0,0,,,100,1.0,0.0,0,100.0
